"ZVarPDF_TA","TPDFMean","PVVarPDF_TA","PVPDF_TA","rhoPDF_TA","ZPDF_TA","Points:0","Points:1","Points:2"
9.92687e-04,1.12587e+03,8.47307e-01,3.60593e+00,3.07816e-01,1.23344e-01,5.86650e-01,0.00000e+00,0.00000e+00
9.80243e-04,1.12976e+03,8.36768e-01,3.59980e+00,3.08302e-01,1.23134e-01,5.84548e-01,0.00000e+00,0.00000e+00
1.15905e-03,1.12107e+03,9.89311e-01,3.57572e+00,3.08800e-01,1.22312e-01,5.84884e-01,2.02638e-03,0.00000e+00
2.72300e-04,3.27852e+02,1.10702e-01,1.89445e-01,9.57202e-01,9.89739e-01,7.14127e-02,0.00000e+00,0.00000e+00
2.68166e-04,3.27001e+02,1.07347e-01,1.87317e-01,9.58570e-01,9.89840e-01,7.08517e-02,0.00000e+00,0.00000e+00
3.63763e-04,3.32313e+02,1.48118e-01,2.18521e-01,9.42275e-01,9.88253e-01,7.11670e-02,6.63861e-04,0.00000e+00
1.13580e-02,1.19202e+03,6.78477e+00,5.95643e+00,2.65442e-01,7.21046e-01,2.14225e-01,0.00000e+00,0.00000e+00
1.09982e-02,1.17706e+03,6.63675e+00,5.86702e+00,2.68908e-01,7.25622e-01,2.13237e-01,0.00000e+00,0.00000e+00
1.29916e-02,1.20468e+03,7.36914e+00,6.04632e+00,2.61275e-01,7.15742e-01,2.13857e-01,9.97498e-04,0.00000e+00
5.33891e-04,3.55066e+02,2.34097e-01,3.49867e-01,8.84852e-01,9.81689e-01,8.72115e-02,0.00000e+00,0.00000e+00
4.82367e-04,3.52950e+02,2.08714e-01,3.36629e-01,8.91104e-01,9.82322e-01,8.66033e-02,0.00000e+00,0.00000e+00
6.64255e-04,3.59644e+02,2.91697e-01,3.79927e-01,8.71544e-01,9.80183e-01,8.68606e-02,5.93365e-04,0.00000e+00
4.97263e-05,3.01037e+02,1.58044e-02,3.97391e-02,1.03887e+00,9.97673e-01,4.67826e-02,0.00000e+00,0.00000e+00
4.72720e-05,3.00693e+02,1.49739e-02,3.70214e-02,1.04041e+00,9.97824e-01,4.62953e-02,0.00000e+00,0.00000e+00
6.00358e-05,3.02175e+02,1.95553e-02,4.44335e-02,1.03578e+00,9.97411e-01,4.64363e-02,5.60675e-04,0.00000e+00
5.75450e-03,7.67075e+02,3.35627e+00,2.98499e+00,4.17605e-01,8.57679e-01,1.76044e-01,0.00000e+00,0.00000e+00
6.16988e-03,7.65097e+02,3.60735e+00,2.96215e+00,4.18007e-01,8.58997e-01,1.75170e-01,0.00000e+00,0.00000e+00
8.10983e-03,7.98828e+02,4.63778e+00,3.23413e+00,3.96397e-01,8.46334e-01,1.75949e-01,8.79744e-04,0.00000e+00
1.26236e-03,1.18857e+03,1.07576e+00,3.86558e+00,2.94025e-01,1.32243e-01,5.57786e-01,0.00000e+00,0.00000e+00
1.23545e-03,1.19637e+03,1.05272e+00,3.90572e+00,2.91716e-01,1.33619e-01,5.55771e-01,0.00000e+00,0.00000e+00
1.41386e-03,1.18602e+03,1.20508e+00,3.86233e+00,2.92972e-01,1.32133e-01,5.56727e-01,2.34644e-03,0.00000e+00
1.02457e-02,1.89062e+03,1.93407e+00,9.65817e+00,1.69188e-01,4.47808e-01,2.96206e-01,0.00000e+00,0.00000e+00
1.03066e-02,1.88364e+03,2.00992e+00,9.61729e+00,1.70036e-01,4.50473e-01,2.94973e-01,0.00000e+00,0.00000e+00
1.17879e-02,1.88862e+03,2.25545e+00,9.59495e+00,1.69716e-01,4.44886e-01,2.95452e-01,1.48348e-03,0.00000e+00
2.04520e-05,2.96426e+02,5.93283e-03,1.35697e-02,1.05496e+00,9.99173e-01,3.73088e-02,0.00000e+00,0.00000e+00
2.02466e-05,2.96230e+02,6.14794e-03,1.24390e-02,1.05570e+00,9.99243e-01,3.68499e-02,0.00000e+00,0.00000e+00
2.39983e-05,2.96701e+02,7.16791e-03,1.50844e-02,1.05393e+00,9.99084e-01,3.70446e-02,4.56483e-04,0.00000e+00
5.13271e-04,9.48558e+02,4.38656e-01,2.81262e+00,3.62209e-01,9.61940e-02,6.92898e-01,0.00000e+00,0.00000e+00
5.62278e-04,9.49187e+02,4.80530e-01,2.80801e+00,3.61981e-01,9.60364e-02,6.90478e-01,0.00000e+00,0.00000e+00
5.88398e-04,9.41104e+02,5.02878e-01,2.75803e+00,3.65934e-01,9.43266e-02,6.92709e-01,2.46230e-03,0.00000e+00
2.06039e-05,2.95622e+02,6.94698e-03,9.44496e-03,1.05762e+00,9.99428e-01,3.45756e-02,0.00000e+00,0.00000e+00
1.64099e-05,2.95490e+02,6.17401e-03,8.12639e-03,1.05844e+00,9.99510e-01,3.41248e-02,0.00000e+00,0.00000e+00
1.79421e-05,2.95843e+02,5.63167e-03,1.02008e-02,1.05702e+00,9.99376e-01,3.42933e-02,4.62645e-04,0.00000e+00
9.02095e-03,1.95496e+03,1.85844e+00,9.73238e+00,1.65025e-01,4.10116e-01,3.12580e-01,0.00000e+00,0.00000e+00
8.69478e-03,1.95115e+03,1.71202e+00,9.73638e+00,1.65315e-01,4.13517e-01,3.11298e-01,0.00000e+00,0.00000e+00
1.02527e-02,1.95070e+03,2.19177e+00,9.66764e+00,1.65569e-01,4.07057e-01,3.11805e-01,1.49304e-03,0.00000e+00
1.00242e-03,4.15203e+02,4.62633e-01,7.01095e-01,7.59982e-01,9.64412e-01,1.13096e-01,0.00000e+00,0.00000e+00
1.00668e-03,4.13403e+02,4.64749e-01,6.92895e-01,7.62121e-01,9.64795e-01,1.12411e-01,0.00000e+00,0.00000e+00
1.38904e-03,4.26446e+02,6.55449e-01,7.77059e-01,7.36963e-01,9.60747e-01,1.13003e-01,7.27950e-04,0.00000e+00
1.91624e-03,1.35594e+03,1.61895e+00,4.72048e+00,2.57535e-01,1.61635e-01,5.01714e-01,0.00000e+00,0.00000e+00
1.99416e-03,1.36016e+03,1.68289e+00,4.71638e+00,2.56907e-01,1.61499e-01,4.99866e-01,0.00000e+00,0.00000e+00
2.15763e-03,1.34952e+03,1.82205e+00,4.66917e+00,2.58321e-01,1.59877e-01,5.01857e-01,1.50837e-03,0.00000e+00
4.86389e-03,6.64996e+02,2.74762e+00,2.34027e+00,4.76432e-01,8.87441e-01,1.64044e-01,0.00000e+00,0.00000e+00
4.82832e-03,6.59933e+02,2.78729e+00,2.31794e+00,4.78811e-01,8.88858e-01,1.63206e-01,0.00000e+00,0.00000e+00
6.37588e-03,6.90152e+02,3.59020e+00,2.52248e+00,4.55572e-01,8.79086e-01,1.63771e-01,8.63604e-04,0.00000e+00
6.47772e-03,1.94232e+03,2.76835e+00,8.55252e+00,1.72476e-01,3.17214e-01,3.58544e-01,0.00000e+00,0.00000e+00
6.56787e-03,1.94581e+03,2.66581e+00,8.65352e+00,1.71138e-01,3.22430e-01,3.57124e-01,0.00000e+00,0.00000e+00
7.12500e-03,1.93738e+03,3.03264e+00,8.55325e+00,1.72188e-01,3.17597e-01,3.57573e-01,1.53766e-03,0.00000e+00
1.67163e-21,2.94000e+02,5.43620e-41,8.69585e-22,1.06348e+00,1.00000e+00,6.51630e-04,2.70779e-04,0.00000e+00
9.42330e-21,2.94000e+02,1.34570e-39,4.05991e-21,1.06348e+00,1.00000e+00,1.04835e-03,0.00000e+00,0.00000e+00
0.00000e+00,2.94000e+02,6.30584e-43,1.18509e-22,1.06348e+00,1.00000e+00,6.97852e-04,0.00000e+00,0.00000e+00
2.52910e-03,1.50321e+03,2.07470e+00,5.59355e+00,2.28363e-01,1.92005e-01,4.64045e-01,0.00000e+00,0.00000e+00
2.71636e-03,1.50922e+03,2.21409e+00,5.64840e+00,2.26565e-01,1.93988e-01,4.62310e-01,0.00000e+00,0.00000e+00
2.92914e-03,1.49598e+03,2.40103e+00,5.56668e+00,2.28194e-01,1.91109e-01,4.63942e-01,1.86034e-03,0.00000e+00
2.39857e-03,1.43793e+03,1.99477e+00,5.22954e+00,2.39326e-01,1.79298e-01,4.79899e-01,0.00000e+00,0.00000e+00
2.40637e-03,1.44412e+03,1.99804e+00,5.23895e+00,2.38992e-01,1.79639e-01,4.78116e-01,0.00000e+00,0.00000e+00
2.68766e-03,1.43385e+03,2.23672e+00,5.19179e+00,2.39642e-01,1.77999e-01,4.78755e-01,1.86045e-03,0.00000e+00
1.20782e-13,2.94000e+02,2.41881e-11,1.60084e-07,1.06348e+00,1.00000e+00,1.13009e-02,0.00000e+00,0.00000e+00
1.33218e-13,2.94000e+02,2.83112e-11,1.23447e-07,1.06348e+00,1.00000e+00,1.09198e-02,0.00000e+00,0.00000e+00
1.46849e-10,2.94000e+02,3.41262e-08,1.28222e-06,1.06348e+00,1.00000e+00,1.11182e-02,4.23088e-04,0.00000e+00
6.31644e-03,7.87867e+02,3.89171e+00,3.14783e+00,4.05892e-01,8.51543e-01,1.77800e-01,0.00000e+00,0.00000e+00
5.58802e-03,7.73064e+02,3.35043e+00,3.02246e+00,4.16230e-01,8.56493e-01,1.76921e-01,0.00000e+00,0.00000e+00
8.07761e-03,8.09439e+02,4.68313e+00,3.30296e+00,3.92099e-01,8.43460e-01,1.77031e-01,8.84023e-04,0.00000e+00
1.23229e-03,1.20180e+03,1.04962e+00,3.96328e+00,2.89065e-01,1.35592e-01,5.53761e-01,0.00000e+00,0.00000e+00
1.32168e-03,1.20739e+03,1.12506e+00,4.00401e+00,2.87762e-01,1.36994e-01,5.51757e-01,0.00000e+00,0.00000e+00
1.46973e-03,1.19640e+03,1.25163e+00,3.95056e+00,2.88730e-01,1.35160e-01,5.52830e-01,2.11500e-03,0.00000e+00
7.70110e-03,1.97803e+03,2.41720e+00,9.25486e+00,1.66011e-01,3.58943e-01,3.37688e-01,0.00000e+00,0.00000e+00
7.98963e-03,1.97843e+03,2.51761e+00,9.23933e+00,1.66369e-01,3.58845e-01,3.36330e-01,0.00000e+00,0.00000e+00
8.47801e-03,1.97296e+03,2.70988e+00,9.19941e+00,1.66575e-01,3.56472e-01,3.36844e-01,1.34750e-03,0.00000e+00
1.35007e-04,3.13945e+02,5.12771e-02,1.08705e-01,9.99376e-01,9.93953e-01,6.10366e-02,0.00000e+00,0.00000e+00
1.31728e-04,3.13282e+02,4.88798e-02,1.06448e-01,1.00085e+00,9.94065e-01,6.05067e-02,0.00000e+00,0.00000e+00
1.74967e-04,3.16140e+02,6.61764e-02,1.22117e-01,9.91483e-01,9.93235e-01,6.07544e-02,5.31491e-04,0.00000e+00
5.84674e-03,1.91539e+03,2.79048e+00,8.30203e+00,1.75074e-01,3.03596e-01,3.68603e-01,0.00000e+00,0.00000e+00
5.98536e-03,1.92119e+03,2.76489e+00,8.37265e+00,1.74279e-01,3.07538e-01,3.67153e-01,0.00000e+00,0.00000e+00
6.61743e-03,1.90896e+03,3.19235e+00,8.24311e+00,1.75580e-01,3.01352e-01,3.67756e-01,1.72814e-03,0.00000e+00
2.14335e-03,1.38922e+03,1.80456e+00,4.89063e+00,2.50803e-01,1.67515e-01,4.92529e-01,0.00000e+00,0.00000e+00
2.25953e-03,1.39522e+03,1.89989e+00,4.90975e+00,2.50271e-01,1.68190e-01,4.90708e-01,0.00000e+00,0.00000e+00
2.43912e-03,1.38548e+03,2.05259e+00,4.86653e+00,2.50748e-01,1.66697e-01,4.91569e-01,1.88025e-03,0.00000e+00
7.29450e-04,1.02184e+03,6.23212e-01,3.07742e+00,3.42010e-01,1.05255e-01,6.41300e-01,0.00000e+00,0.00000e+00
7.68731e-04,1.02388e+03,6.56770e-01,3.05444e+00,3.43708e-01,1.04469e-01,6.39035e-01,0.00000e+00,0.00000e+00
